"step","name","platform","age_range","download_dt","users_count","count_rides"
"0","download","android","18-24","2021-01-02","2","0"
"0","download","android","18-24","2021-01-04","3","0"
"0","download","android","18-24","2021-01-05","1","0"
"0","download","android","18-24","2021-01-06","1","0"
"0","download","android","18-24","2021-01-07","1","0"
"0","download","android","18-24","2021-01-08","3","0"
"0","download","android","18-24","2021-01-09","3","0"
"0","download","android","18-24","2021-01-10","2","0"
"0","download","android","18-24","2021-01-11","1","0"
"0","download","android","18-24","2021-01-12","4","0"
"0","download","android","18-24","2021-01-14","2","0"
"0","download","android","18-24","2021-01-15","3","0"
"0","download","android","18-24","2021-01-16","4","0"
"0","download","android","18-24","2021-01-17","1","0"
"0","download","android","18-24","2021-01-18","3","0"
"0","download","android","18-24","2021-01-19","3","0"
"0","download","android","18-24","2021-01-20","4","0"
"0","download","android","18-24","2021-01-21","2","0"
"0","download","android","18-24","2021-01-22","1","0"
"0","download","android","18-24","2021-01-23","2","0"
"0","download","android","18-24","2021-01-26","2","0"
"0","download","android","18-24","2021-01-28","2","0"
"0","download","android","18-24","2021-01-29","3","0"
"0","download","android","18-24","2021-01-30","2","0"
"0","download","android","18-24","2021-01-31","4","0"
"0","download","android","18-24","2021-02-01","1","0"
"0","download","android","18-24","2021-02-03","2","0"
"0","download","android","18-24","2021-02-04","1","0"
"0","download","android","18-24","2021-02-05","1","0"
"0","download","android","18-24","2021-02-06","1","0"
"0","download","android","18-24","2021-02-07","4","0"
"0","download","android","18-24","2021-02-09","1","0"
"0","download","android","18-24","2021-02-10","2","0"
"0","download","android","18-24","2021-02-12","1","0"
"0","download","android","18-24","2021-02-13","3","0"
"0","download","android","18-24","2021-02-14","2","0"
"0","download","android","18-24","2021-02-15","2","0"
"0","download","android","18-24","2021-02-17","2","0"
"0","download","android","18-24","2021-02-18","2","0"
"0","download","android","18-24","2021-02-19","2","0"
"0","download","android","18-24","2021-02-20","3","0"
"0","download","android","18-24","2021-02-21","4","0"
"0","download","android","18-24","2021-02-22","1","0"
"0","download","android","18-24","2021-02-24","1","0"
"0","download","android","18-24","2021-02-25","2","0"
"0","download","android","18-24","2021-02-26","2","0"
"0","download","android","18-24","2021-02-27","3","0"
"0","download","android","18-24","2021-02-28","1","0"
"0","download","android","18-24","2021-03-01","1","0"
"0","download","android","18-24","2021-03-02","2","0"
"0","download","android","18-24","2021-03-06","2","0"
"0","download","android","18-24","2021-03-07","1","0"
"0","download","android","18-24","2021-03-09","3","0"
"0","download","android","18-24","2021-03-11","3","0"
"0","download","android","18-24","2021-03-12","1","0"
"0","download","android","18-24","2021-03-16","1","0"
"0","download","android","18-24","2021-03-17","4","0"
"0","download","android","18-24","2021-03-18","2","0"
"0","download","android","18-24","2021-03-19","1","0"
"0","download","android","18-24","2021-03-20","2","0"
"0","download","android","18-24","2021-03-21","1","0"
"0","download","android","18-24","2021-03-22","3","0"
"0","download","android","18-24","2021-03-24","1","0"
"0","download","android","18-24","2021-03-25","2","0"
"0","download","android","18-24","2021-03-26","5","0"
"0","download","android","18-24","2021-03-30","2","0"
"0","download","android","18-24","2021-03-31","2","0"
"0","download","android","18-24","2021-04-03","1","0"
"0","download","android","18-24","2021-04-04","1","0"
"0","download","android","18-24","2021-04-07","3","0"
"0","download","android","18-24","2021-04-09","2","0"
"0","download","android","18-24","2021-04-10","2","0"
"0","download","android","18-24","2021-04-11","1","0"
"0","download","android","18-24","2021-04-12","1","0"
"0","download","android","18-24","2021-04-13","2","0"
"0","download","android","18-24","2021-04-14","1","0"
"0","download","android","18-24","2021-04-15","3","0"
"0","download","android","18-24","2021-04-16","5","0"
"0","download","android","18-24","2021-04-17","2","0"
"0","download","android","18-24","2021-04-18","1","0"
"0","download","android","18-24","2021-04-20","1","0"
"0","download","android","18-24","2021-04-22","3","0"
"0","download","android","18-24","2021-04-23","1","0"
"0","download","android","18-24","2021-04-24","1","0"
"0","download","android","18-24","2021-04-25","1","0"
"0","download","android","18-24","2021-04-26","3","0"
"0","download","android","18-24","2021-04-27","2","0"
"0","download","android","18-24","2021-04-28","1","0"
"0","download","android","18-24","2021-05-01","1","0"
"0","download","android","18-24","2021-05-02","4","0"
"0","download","android","18-24","2021-05-04","3","0"
"0","download","android","18-24","2021-05-07","3","0"
"0","download","android","18-24","2021-05-08","2","0"
"0","download","android","18-24","2021-05-09","2","0"
"0","download","android","18-24","2021-05-13","1","0"
"0","download","android","18-24","2021-05-14","2","0"
"0","download","android","18-24","2021-05-15","2","0"
"0","download","android","18-24","2021-05-16","2","0"
"0","download","android","18-24","2021-05-18","2","0"
"0","download","android","18-24","2021-05-19","1","0"
"0","download","android","18-24","2021-05-20","1","0"
"0","download","android","18-24","2021-05-21","1","0"
"0","download","android","18-24","2021-05-23","2","0"
"0","download","android","18-24","2021-05-24","1","0"
"0","download","android","18-24","2021-05-28","2","0"
"0","download","android","18-24","2021-05-29","1","0"
"0","download","android","18-24","2021-05-30","2","0"
"0","download","android","18-24","2021-05-31","1","0"
"0","download","android","18-24","2021-06-03","3","0"
"0","download","android","18-24","2021-06-04","1","0"
"0","download","android","18-24","2021-06-05","3","0"
"0","download","android","18-24","2021-06-06","1","0"
"0","download","android","18-24","2021-06-07","4","0"
"0","download","android","18-24","2021-06-08","2","0"
"0","download","android","18-24","2021-06-09","1","0"
